TF,Target,Weight
MEOX2,ALDH1L1,0.7103410396764351
MEOX2,ANGPTL1,0.762695914869635
MEOX2,ANK2,0.7021040776382631
MEOX2,AOC3,0.7896034534711833
MEOX2,AQP7,0.7297691964309012
MEOX2,AQP7P2,0.7553165673466589
MEOX2,ASPA,0.7744329102913997
MEOX2,AVPR2,0.7125876824340488
MEOX2,BMX,0.8068775523146506
MEOX2,BTNL9,0.7347059592900075
MEOX2,C1QTNF9,0.7308887356466
MEOX2,C2ORF32,0.7595755702386765
MEOX2,C6ORF189,0.7175274794689528
MEOX2,C7,0.7505615321141683
MEOX2,CA4,0.7166418521710815
MEOX2,CAV1,0.7712694929880988
MEOX2,CCL15,0.7484230411072428
MEOX2,CD36,0.7101803817411124
MEOX2,CRHBP,0.7620780880115752
MEOX2,DARC,0.7564572707994048
MEOX2,DNASE1L3,0.7625648522370266
MEOX2,EBF1,0.7557323234372105
MEOX2,EBF3,0.8059821606340792
MEOX2,EDG1,0.7961330835855952
MEOX2,ENPP2,0.7571940262022612
MEOX2,ERG,0.7554672388310149
MEOX2,F10,0.7004907041657088
MEOX2,FGF7,0.7104088478090024
MEOX2,FHL1,0.8003373278093405
MEOX2,FIGF,0.7291360019004265
MEOX2,FLI1,0.7244024563587178
MEOX2,FLJ22655,0.7186103747340388
MEOX2,FLRT2,0.7166480610790189
MEOX2,FREM1,0.7701673301391259
MEOX2,FXYD1,0.808168033207703
MEOX2,G0S2,0.7069254127816565
MEOX2,GDF10,0.7981443744336622
MEOX2,GIPC2,0.735481796892396
MEOX2,GLYAT,0.7352073108303732
MEOX2,GNG11,0.7608687975445427
MEOX2,GPD1,0.7243558229949846
MEOX2,GPR146,0.7372980143574164
MEOX2,GRASP,0.7169922778443635
MEOX2,GRRP1,0.7065423555157901
MEOX2,GSN,0.7087911268079158
MEOX2,IGF1,0.7526624346870212
MEOX2,IGSF10,0.7029489625305371
MEOX2,IL33,0.7740317637212449
MEOX2,IPO11,0.7561436153994163
MEOX2,ITIH5,0.8008993388185478
MEOX2,ITM2A,0.7716192284023022
MEOX2,JAM2,0.7680806608131318
MEOX2,LCN6,0.710541646178883
MEOX2,LDB2,0.7801693906894108
MEOX2,LEPR,0.7433929899666073
MEOX2,LHFP,0.7528140161658545
MEOX2,LOC221091,0.7175189996706692
MEOX2,LOC387911,0.7116608278973381
MEOX2,LPL,0.7157302352776864
MEOX2,LRRC2,0.71280250386767
MEOX2,LYVE1,0.7220193296075159
MEOX2,MAP1LC3C,0.7765041784703605
MEOX2,MEOX1,0.7870883885808059
MEOX2,MFAP4,0.7430770032090216
MEOX2,MMRN1,0.7148097219604512
MEOX2,MRAP,0.7214121718297987
MEOX2,MYCT1,0.7110845668368088
MEOX2,MYOC,0.7297744624429792
MEOX2,NPR1,0.7393791293543205
MEOX2,PCDH18,0.702268151756348
MEOX2,PCK1,0.7119226054811932
MEOX2,PDE1A,0.7224140731250227
MEOX2,PDE2A,0.7573408956365639
MEOX2,PDK4,0.7510470488387448
MEOX2,PGM5,0.7442374270881916
MEOX2,PI16,0.7676323219695915
MEOX2,PLAC9,0.7009541668926398
MEOX2,PPAP2A,0.747701645953083
MEOX2,PPAP2B,0.7057232136753518
MEOX2,PROS1,0.7284737752201872
MEOX2,PTPRB,0.7171584551318957
MEOX2,RBMS3,0.7295560509303249
MEOX2,RHOJ,0.7581978344288175
MEOX2,SCARA5,0.8017357861582739
MEOX2,SDPR,0.830869904009302
MEOX2,SHE,0.7405959503117507
MEOX2,SLC19A3,0.7140593913017161
MEOX2,STARD9,0.7058670027260378
MEOX2,SVEP1,0.8052191374536565
MEOX2,TEK,0.7600569832899456
MEOX2,TGFBR2,0.7774269321357091
MEOX2,TMEM100,0.7059670859878898
MEOX2,TNMD,0.7389975130878974
MEOX2,TNNT3,0.7478890266894439
MEOX2,TPO,0.7899866238313422
MEOX2,TSPAN7,0.8146246282879709
EGR2,EGR1,0.7829932651915782
EGR2,FOSB,0.7019233312145539
EGR2,FREM1,0.7092195765561554
EGR2,ZFP36,0.7209504284609789
ZNF696,BOP1,0.7786307208933243
ZNF696,EXOSC4,0.7120988967662211
ZNF696,PTK2,0.7065256192264306
ZNF696,PUF60,0.7439725584939325
ZNF696,TIGD5,0.7417517675627567
ZNF696,ZNF707,0.759233432925189
GRHL2,OVOL2,0.7063709312294507
SOX3,ARRDC5,0.7537708788885529
SOX3,AVP,0.84030350006141
SOX3,BBC3,0.7154905798482615
SOX3,C9ORF62,0.9435380952522592
SOX3,CASKIN1,0.9510147429750092
SOX3,CDH24,0.9409815557839476
SOX3,DLGAP3,0.88132081298266
SOX3,FBXL17,0.9442901124488117
SOX3,FBXL8,0.9035182090444738
SOX3,GPR156,0.7849086457923716
SOX3,GPR78,0.7109367731718438
SOX3,GRIN2D,0.956297725001271
SOX3,LCE5A,0.9526898467410027
SOX3,LOC201175,0.8455694934308328
